"","country_full","Consistency"
"1","RCS",2.28035085019828
"2","Gibraltar",3.5346154661443
"3","Brazil",3.62089690115434
"4","Spain",3.9087870395714
"5","Argentina",4.01265939330746
"6","Germany",4.35481308513951
"7","England",4.39726021926124
"8","Italy",4.51482243742945
"9","Anguilla",4.81667414158792
"10","Netherlands",6.48139566419596
"11","Mexico",6.49085027432993
"12","Zaire",6.69608311907261
"13","France",6.82294799265787
"14","USA",7.5784175921385
"15","Portugal",7.68336794966456
"16","Cambodia",8.32273345334075
"17","Djibouti",8.4604038783227
"18","US Virgin Islands",8.46155020761767
"19","American Samoa",8.67253528098864
"20","Mongolia",9.15658736935191
"21","Montserrat",9.7258325079594
"22","Sweden",9.90426323010815
"23","Serbia and Montenegro",10.1708004957453
"24","Cook Islands",10.3643442191749
"25","Bhutan",10.5501023150107
"26","Denmark",10.6615111452082
"27","Macau",10.8462046164665
"28","Tonga",10.9829273942075
"29","Tunisia",11.1266231228316
"30","Maldives",11.1319480528723
"31","Chinese Taipei",11.1474761718995
"32","Serbia",11.4090351877836
"33","Somalia",11.5696688186121
"34","Samoa",11.6156719400768
"35","Brunei Darussalam",11.6428284071617
"36","Laos",11.6689296226176
"37","Timor-Leste",11.6864958020339
"38","Kosovo",11.7491134417311
"39","Egypt",12.0228471212723
"40","Korea Republic",12.0769219047797
"41","Turks and Caicos Islands",12.5187043082601
"42","Burundi",12.5741886261085
"43","Colombia",13.056854996409
"44","Japan",13.0660017757772
"45","Guam",13.1751673120678
"46","Romania",13.1766854660953
"47","Lesotho",13.3840325508346
"48","Pakistan",13.5041249712945
"49","Russia",13.8144729846971
"50","Uruguay",14.0552583863899
"51","Seychelles",14.0612066193203
"52","Turkey",14.0880475246676
"53","Czech Republic",14.1425877412316
"54","Nepal",14.2026191553631
"55","Qatar",14.3510263331622
"56","British Virgin Islands",14.3894877763638
"57","Oman",14.5585176281579
"58","Greece",14.663253972196
"59","Republic of Ireland",14.7660232799446
"60","Hungary",14.7956617269361
"61","Papua New Guinea",14.8649988640787
"62","Malawi",15.1276663368452
"63","Uganda",15.2692198141648
"64","Ecuador",15.3125712224714
"65","Vanuatu",15.3882247330322
"66","Sudan",15.4041798202768
"67","Bahamas",15.5450811711052
"68","Côte d'Ivoire",15.6558732530924
"69","Tajikistan",15.8245549715546
"70","Azerbaijan",15.8626061162288
"71","Slovakia",16.0039583292492
"72","Honduras",16.142197224144
"73","Uzbekistan",16.1680216324653
